,vmp_nsh,imp_nsh,vmp_nrl,imp_nrl,vmp_nsr,imp_nsr
839,0.8313403267115496,0.9978630822346284,0.8475806730602184,0.9398823884914811,0.9903028714580564,0.8404028686256189
840,0.8323339358319862,0.9978693872796633,0.8497416459847463,0.9412923336499688,0.9903053228790384,0.8413909013842871
841,0.8333275758323144,0.9978756553825279,0.85188203349329,0.9426695736732644,0.9903077643344537,0.8423789406122253
842,0.8343212464791225,0.99788188686571,0.8540017209244833,0.9440148121888771,0.9903101958883835,0.8433669862695296
843,0.8353149475414893,0.9978880820479682,0.8561006055141532,0.9453287419851972,0.9903126176043355,0.8443550383166424
844,0.8363086787909495,0.9978942412443862,0.8581785961278201,0.94661204486779,0.9903150295452492,0.8453430967143469
845,0.8373024400014608,0.9979003647664244,0.8602356129892668,0.9478653915462973,0.9903174317735031,0.8463311614237645
846,0.8382962309493701,0.9979064529219726,0.8622715874058371,0.9490894415486432,0.990319824350921,0.8473192324063503
847,0.8392900514133828,0.9979125060154,0.8642864614910916,0.9502848431597196,0.990322207338779,0.8483073096238893
848,0.8402839011745292,0.9979185243476061,0.8662801878854186,0.9514522333821259,0.990324580797811,0.8492953930384934
849,0.8412777800161343,0.9979245082160688,0.8682527294751734,0.9525922379168642,0.9903269447882154,0.8502834826125971
850,0.8422716877237871,0.9979304579148938,0.8702040591108798,0.9537054711621618,0.9903292993696605,0.851271578308954
851,0.8432656240853104,0.9979363737348612,0.8721341593250096,0.9547925362288091,0.9903316446012917,0.8522596800906336
852,0.8442595888907294,0.9979422559634725,0.8740430220498192,0.9558540249705806,0.9903339805417367,0.8532477879210174
853,0.8452535819322452,0.9979481048849971,0.8759306483356978,0.9568905180284496,0.9903363072491109,0.8542359017637962
854,0.8462476030042037,0.9979539207805163,0.8777970480704528,0.9579025848874301,0.9903386247810242,0.8552240215829656
855,0.8472416519030682,0.9979597039279687,0.879642239699932,0.958890783944976,0.9903409331945865,0.8562121473428236
856,0.8482357284273921,0.9979654546021934,0.881466249950356,0.9598556625899496,0.9903432325464125,0.8572002790079667
857,0.8492298323777897,0.9979711730749732,0.8832691135527063,0.9607977572912474,0.9903455228926281,0.8581884165432871
858,0.8502239635569109,0.9979768596150764,0.8850508729694939,0.9617175936952264,0.9903478042888754,0.8591765599139692
859,0.8512181217694135,0.9979825144882988,0.8868115781242057,0.9626156867311341,0.9903500767903186,0.8601647090854866
860,0.8522123068219377,0.9979881379575042,0.8885512861337046,0.9634925407237935,0.9903523404516488,0.8611528640235986
861,0.8532065185230807,0.9979937302826648,0.8902700610438371,0.9643486495128365,0.9903545953270889,0.8621410246943476
862,0.8542007566833697,0.9979992917209008,0.8919679735684788,0.9651844965778255,0.9903568414704004,0.8631291910640561
863,0.8551950211152389,0.9980048225265191,0.8936451008322318,0.9660005551686393,0.9903590789348862,0.8641173630993229
864,0.8561893116330036,0.9980103229510514,0.8953015261169615,0.9667972884405369,0.9903613077733978,0.8651055407670212
865,0.8571836280528368,0.9980157932432921,0.8969373386123507,0.9675751495933489,0.9903635280383386,0.8660937240342949
866,0.8581779701927451,0.9980212336493354,0.8985526331706208,0.9683345820142785,0.9903657397816698,0.867081912868556
867,0.8591723378725453,0.9980266444126112,0.9001475100655613,0.969076019423826,0.990367943054915,0.8680701072374818
868,0.8601667309138412,0.9980320257739217,0.9017220747559863,0.9697998860243843,0.9903701379091648,0.8690583071090122
869,0.8611611491400011,0.9980373779714761,0.9032764376537276,0.9705065966510752,0.9903723243950815,0.8700465124513465
